timestamp,type,RPM,VSS,Gear,STR,TPS,CLT1,CLT2,OilTemp,MAP,MAT,FuelPres,OilPres,AFR,BatV,AccelZ,AccelX,AccelY,FR_Shock,FL_Shock,RR_Shock,RL_Shock
2025-11-03T13:31:20.547139,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.24145,28.93451,3.949169
2025-11-03T13:31:20.606146,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.24145,28.93451,3.949169
2025-11-03T13:31:20.642109,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:20.693742,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:20.747566,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:20.808460,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:20.844009,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:20.898328,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:20.943522,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:20.993519,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.042266,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.092827,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.179036,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.200831,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.242608,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.293284,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.367689,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.402142,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.459719,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.491989,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.554285,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.592567,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.95699,31.20234,28.89541,3.949169
2025-11-03T13:31:21.645025,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.87879,31.47605,29.20821,3.910068
2025-11-03T13:31:21.696760,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.87879,31.47605,29.20821,3.910068
2025-11-03T13:31:21.751693,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.87879,31.47605,29.20821,3.910068
2025-11-03T13:31:21.794340,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.87879,31.47605,29.20821,3.910068
2025-11-03T13:31:21.846948,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.87879,31.47605,29.20821,3.910068
2025-11-03T13:31:21.894079,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.87879,31.47605,29.20821,3.910068
2025-11-03T13:31:21.943804,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.87879,31.47605,29.20821,3.910068
2025-11-03T13:31:22.018320,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.87879,31.47605,29.20821,3.910068
2025-11-03T13:31:22.044694,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.87879,31.47605,29.20821,3.910068
2025-11-03T13:31:22.096242,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.87879,31.47605,29.20821,3.910068
2025-11-03T13:31:22.142305,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.87879,31.47605,29.20821,3.910068
